,timestep,Chord_vector,Chord_label
1300,120.7438,"[5, 5, 0, 4]",F:maj
1301,120.8366,"[5, 5, 0, 4]",F:maj
1302,120.9295,"[5, 5, 0, 4]",F:maj
1303,121.0224,"[5, 5, 0, 4]",F:maj
1304,121.1153,"[5, 5, 0, 4]",F:maj
1305,121.2082,"[5, 5, 0, 4]",F:maj
1306,121.301,"[5, 5, 0, 4]",F:maj
1307,121.3939,"[5, 5, 0, 4]",F:maj
1308,121.4868,"[5, 5, 0, 4]",F:maj
1309,121.5797,"[5, 5, 0, 4]",F:maj
1310,121.6726,"[5, 5, 0, 4]",F:maj
1311,121.7654,"[5, 5, 0, 4]",F:maj
1312,121.8583,"[5, 5, 0, 4]",F:maj
1313,121.9512,"[5, 5, 0, 4]",F:maj
1314,122.0441,"[5, 5, 0, 4]",F:maj
1315,122.137,"[5, 5, 0, 4]",F:maj
1316,122.2298,"[5, 5, 0, 4]",F:maj
1317,122.3227,"[5, 5, 0, 4]",F:maj
1318,122.4156,"[5, 5, 0, 4]",F:maj
1319,122.5085,"[5, 5, 0, 4]",F:maj
1320,122.6014,"[5, 5, 0, 4]",F:maj
1321,122.6942,"[5, 5, 0, 4]",F:maj
1322,122.7871,"[5, 5, 0, 4]",F:maj
1323,122.88,"[5, 5, 0, 4]",F:maj
1324,122.9729,"[5, 5, 0, 4]",F:maj
1325,123.0658,"[5, 5, 0, 4]",F:maj
1326,123.1586,"[5, 5, 0, 4]",F:maj
1327,123.2515,"[5, 5, 0, 4]",F:maj
1328,123.3444,"[5, 5, 0, 4]",F:maj
1329,123.4373,"[5, 5, 0, 4]",F:maj
1330,123.5302,"[5, 5, 0, 4]",F:maj
1331,123.623,"[5, 5, 0, 4]",F:maj
1332,123.7159,"[5, 5, 0, 4]",F:maj
1333,123.8088,"[5, 5, 0, 4]",F:maj
1334,123.9017,"[5, 5, 0, 4]",F:maj
1335,123.9946,"[5, 5, 0, 4]",F:maj
1336,124.0874,"[5, 5, 0, 4]",F:maj
1337,124.1803,"[5, 5, 0, 4]",F:maj
1338,124.2732,"[5, 5, 0, 4]",F:maj
1339,124.3661,"[5, 5, 0, 4]",F:maj
1340,124.459,"[5, 5, 0, 4]",F:maj
1341,124.5518,"[5, 5, 0, 4]",F:maj
1342,124.6447,"[5, 5, 0, 4]",F:maj
1343,124.7376,"[5, 5, 0, 4]",F:maj
1344,124.8305,"[5, 5, 0, 4]",F:maj
1345,124.9234,"[5, 5, 0, 4]",F:maj
1346,125.0162,"[5, 5, 0, 4]",F:maj
1347,125.1091,"[5, 5, 0, 4]",F:maj
1348,125.202,"[5, 5, 0, 4]",F:maj
1349,125.2949,"[5, 5, 0, 4]",F:maj
1350,125.3878,"[5, 5, 0, 4]",F:maj
1351,125.4806,"[5, 5, 0, 4]",F:maj
1352,125.5735,"[5, 5, 0, 4]",F:maj
1353,125.6664,"[5, 5, 0, 4]",F:maj
1354,125.7593,"[5, 5, 0, 4]",F:maj
1355,125.8522,"[5, 5, 0, 4]",F:maj
1356,125.945,"[5, 5, 0, 4]",F:maj
1357,126.0379,"[5, 5, 0, 4]",F:maj
1358,126.1308,"[5, 5, 0, 4]",F:maj
1359,126.2237,"[5, 5, 0, 4]",F:maj
1360,126.3166,"[5, 5, 0, 4]",F:maj
1361,126.4094,"[5, 5, 0, 4]",F:maj
1362,126.5023,"[5, 5, 0, 4]",F:maj
1363,126.5952,"[5, 5, 0, 4]",F:maj
1364,126.6881,"[5, 5, 0, 4]",F:maj
1365,126.781,"[10, 5, 0, 4]",A#:maj/5
1366,126.8738,"[10, 5, 0, 4]",A#:maj/5
1367,126.9667,"[10, 5, 0, 4]",A#:maj/5
1368,127.0596,"[10, 5, 4, 4]",A#:sus2/5
1369,127.1525,"[10, 10, 4, 4]",A#:sus2
1370,127.2454,"[10, 10, 4, 4]",A#:sus2
1371,127.3382,"[10, 10, 4, 4]",A#:sus2
1372,127.4311,"[10, 10, 4, 4]",A#:sus2
1373,127.524,"[10, 10, 4, 4]",A#:sus2
1374,127.6169,"[10, 10, 4, 4]",A#:sus2
1375,127.7098,"[10, 10, 4, 4]",A#:sus2
1376,127.8026,"[10, 10, 4, 4]",A#:sus2
1377,127.8955,"[10, 10, 4, 4]",A#:sus2
1378,127.9884,"[10, 10, 4, 4]",A#:sus2
1379,128.0813,"[10, 10, 4, 4]",A#:sus2
1380,128.1741,"[10, 10, 4, 4]",A#:sus2
1381,128.267,"[10, 10, 4, 4]",A#:sus2
1382,128.3599,"[10, 10, 4, 4]",A#:sus2
1383,128.4528,"[10, 10, 4, 4]",A#:sus2
1384,128.5457,"[10, 10, 4, 4]",A#:sus2
1385,128.6385,"[10, 10, 4, 4]",A#:sus2
1386,128.7314,"[10, 10, 4, 4]",A#:sus2
1387,128.8243,"[10, 10, 5, 4]",A#:sus4
1388,128.9172,"[10, 10, 5, 4]",A#:sus4
1389,129.0101,"[10, 10, 5, 4]",A#:sus4
1390,129.1029,"[10, 10, 5, 4]",A#:sus4
1391,129.1958,"[10, 10, 5, 4]",A#:sus4
1392,129.2887,"[10, 10, 5, 4]",A#:sus4
1393,129.3816,"[10, 10, 5, 4]",A#:sus4
1394,129.4745,"[10, 10, 5, 4]",A#:sus4
1395,129.5673,"[10, 10, 5, 4]",A#:sus4
1396,129.6602,"[10, 10, 5, 4]",A#:sus4
1397,129.7531,"[10, 10, 5, 4]",A#:sus4
1398,129.846,"[10, 10, 5, 4]",A#:sus4
1399,129.9389,"[10, 10, 5, 4]",A#:sus4
1400,130.0317,"[10, 10, 5, 4]",A#:sus4
1401,130.1246,"[10, 10, 5, 4]",A#:sus4
1402,130.2175,"[10, 10, 5, 4]",A#:sus4
1403,130.3104,"[10, 10, 5, 4]",A#:sus4
1404,130.4033,"[10, 5, 5, 4]",A#:sus4/5
1405,130.4961,"[5, 5, 0, 4]",F:maj
1406,130.589,"[5, 5, 0, 4]",F:maj
1407,130.6819,"[5, 5, 0, 4]",F:maj
1408,130.7748,"[5, 5, 0, 4]",F:maj
1409,130.8677,"[5, 5, 0, 4]",F:maj
1410,130.9605,"[5, 5, 0, 4]",F:maj
1411,131.0534,"[5, 5, 0, 4]",F:maj
1412,131.1463,"[5, 5, 0, 4]",F:maj
1413,131.2392,"[5, 5, 0, 4]",F:maj
1414,131.3321,"[5, 5, 0, 4]",F:maj
1415,131.4249,"[5, 5, 5, 4]",F:sus4
1416,131.5178,"[5, 5, 5, 4]",F:sus4
1417,131.6107,"[5, 5, 5, 4]",F:sus4
1418,131.7036,"[5, 5, 5, 4]",F:sus4
1419,131.7965,"[5, 5, 5, 4]",F:sus4
1420,131.8893,"[5, 5, 5, 4]",F:sus4
1421,131.9822,"[5, 5, 5, 4]",F:sus4
1422,132.0751,"[5, 5, 5, 4]",F:sus4
1423,132.168,"[5, 5, 5, 4]",F:sus4
1424,132.2609,"[5, 5, 5, 4]",F:sus4
1425,132.3537,"[5, 5, 5, 4]",F:sus4
1426,132.4466,"[5, 5, 5, 4]",F:sus4
1427,132.5395,"[5, 5, 5, 4]",F:sus4
1428,132.6324,"[5, 5, 5, 4]",F:sus4
1429,132.7253,"[5, 5, 5, 4]",F:sus4
1430,132.8181,"[5, 5, 0, 4]",F:maj
1431,132.911,"[5, 5, 0, 4]",F:maj
1432,133.0039,"[5, 5, 0, 4]",F:maj
1433,133.0968,"[5, 5, 0, 4]",F:maj
1434,133.1897,"[5, 5, 0, 4]",F:maj
1435,133.2825,"[5, 5, 0, 4]",F:maj
1436,133.3754,"[5, 5, 0, 4]",F:maj
1437,133.4683,"[5, 5, 0, 4]",F:maj
1438,133.5612,"[5, 5, 0, 4]",F:maj
1439,133.6541,"[5, 5, 0, 4]",F:maj
1440,133.7469,"[5, 5, 0, 4]",F:maj
1441,133.8398,"[5, 5, 0, 4]",F:maj
1442,133.9327,"[5, 5, 0, 4]",F:maj
1443,134.0256,"[5, 5, 0, 4]",F:maj
1444,134.1185,"[5, 5, 0, 4]",F:maj
1445,134.2113,"[5, 5, 0, 4]",F:maj
1446,134.3042,"[5, 5, 0, 4]",F:maj
1447,134.3971,"[5, 5, 0, 4]",F:maj
1448,134.49,"[5, 5, 0, 4]",F:maj
1449,134.5829,"[5, 5, 0, 4]",F:maj
1450,134.6757,"[5, 5, 0, 4]",F:maj
1451,134.7686,"[5, 5, 0, 4]",F:maj
1452,134.8615,"[5, 5, 0, 4]",F:maj
1453,134.9544,"[5, 5, 0, 4]",F:maj
1454,135.0473,"[5, 5, 0, 4]",F:maj
1455,135.1401,"[5, 5, 0, 4]",F:maj
1456,135.233,"[5, 5, 0, 4]",F:maj
1457,135.3259,"[5, 5, 0, 4]",F:maj
1458,135.4188,"[5, 5, 0, 4]",F:maj
1459,135.5117,"[5, 5, 0, 4]",F:maj
1460,135.6045,"[5, 5, 0, 4]",F:maj
1461,135.6974,"[5, 5, 0, 4]",F:maj
1462,135.7903,"[5, 5, 0, 4]",F:maj
1463,135.8832,"[5, 5, 0, 4]",F:maj
1464,135.9761,"[5, 5, 5, 4]",F:sus4
1465,136.0689,"[5, 5, 5, 4]",F:sus4
1466,136.1618,"[5, 5, 5, 4]",F:sus4
1467,136.2547,"[5, 5, 5, 4]",F:sus4
1468,136.3476,"[5, 5, 5, 4]",F:sus4
1469,136.4405,"[5, 5, 5, 4]",F:sus4
1470,136.5333,"[5, 5, 5, 4]",F:sus4
1471,136.6262,"[5, 5, 5, 4]",F:sus4
1472,136.7191,"[5, 5, 5, 4]",F:sus4
1473,136.812,"[5, 5, 0, 4]",F:maj
1474,136.9049,"[5, 5, 0, 4]",F:maj
1475,136.9977,"[5, 5, 0, 4]",F:maj
1476,137.0906,"[5, 5, 0, 4]",F:maj
1477,137.1835,"[5, 5, 0, 4]",F:maj
1478,137.2764,"[5, 5, 0, 4]",F:maj
1479,137.3693,"[5, 5, 0, 4]",F:maj
1480,137.4621,"[5, 5, 0, 4]",F:maj
1481,137.555,"[5, 5, 0, 4]",F:maj
1482,137.6479,"[5, 5, 0, 4]",F:maj
1483,137.7408,"[5, 5, 0, 4]",F:maj
1484,137.8337,"[5, 5, 0, 4]",F:maj
1485,137.9265,"[5, 5, 0, 4]",F:maj
1486,138.0194,"[5, 5, 0, 4]",F:maj
1487,138.1123,"[5, 5, 0, 4]",F:maj
1488,138.2052,"[5, 5, 0, 4]",F:maj
1489,138.298,"[5, 5, 0, 4]",F:maj
1490,138.3909,"[5, 5, 0, 4]",F:maj
1491,138.4838,"[5, 5, 0, 4]",F:maj
